,,,,,,,,,,,,,,,,
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
04-01-0167-46,04-020,CHIMALTENANGO,CHIMALTENANGO,LICEO CRISTIANO HISPANOAMERICANO,3A. AVENIDA 1-64 ZONA 2,78395647,SANDRA NINETH LOPEZ GUTIERREZ,OTONIEL TEXAJ MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0170-46,04-020,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO TECNOLOGICO CHIMALTECO,3A. AVENIDA 3-65 ZONA 3,78392002,SANDRA NINETH LOPEZ GUTIERREZ,DOMINGO JIATZ SOLAN,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0171-46,04-027,CHIMALTENANGO,CHIMALTENANGO,LICEO NUEVA GENERACION,1A. AVENIDA 4-52 ZONA 4,78392827,JULIO ANTONIO MUTZUTZ CATU,LESLIE IVETTE SANCHEZ VASQUEZ DE RAMIREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-0175-46,04-027,CHIMALTENANGO,CHIMALTENANGO,COLEGIO SAGRADA ESPERANZA,"6A. CALLE 3-09 ZONA 1, QUINTAS LOS APOSENTOS I",57674925,JULIO ANTONIO MUTZUTZ CATU,ANA MARIA ARAGON PINEDA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0180-46,04-027,CHIMALTENANGO,CHIMALTENANGO,"INSTITUTO MIXTO TECNOLOGICO CENTRAL ""CIUDAD DE LOS ESCUDOS""",2A. CALLE 2-45 ZONA 4,78494236,JULIO ANTONIO MUTZUTZ CATU,EDVIN AMILCAR PER SISIMIT,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0181-46,04-027,CHIMALTENANGO,CHIMALTENANGO,"INSTITUTO MIXTO TECNOLOGICO CENTRAL ""CIUDAD DE LOS ESCUDOS""",2A. CALLE 2-45 ZONA 4,78494236,JULIO ANTONIO MUTZUTZ CATU,EDVIN AMILCAR PER SISIMIT,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-0184-46,04-027,CHIMALTENANGO,CHIMALTENANGO,"COLEGIO ""JOSÉ SIMEÓN CAÑAS Y VILLACORTA""",4A. AVENIDA 2-95 ZONA 3,79393574,JULIO ANTONIO MUTZUTZ CATU,IRMA ARACELI MENDOZA ALCÚ VIUDA DE SAY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-0187-46,04-027,CHIMALTENANGO,CHIMALTENANGO,"LICEO CIENTIFICO TECNOLOGICO ""EN-GADI""",2A. CALLE 1-73 ZONA 2,78391176,JULIO ANTONIO MUTZUTZ CATU,ELIAS ISRAEL LOPEZ MIRANDA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0194-46,04-027,CHIMALTENANGO,CHIMALTENANGO,COLEGIO CRISTIANO VERBO CHIMALTENANGO,"3A. AVENIDA DE LAS FLORES 7-62 QUINTAS LOS APOSENTOS 1, ZONA 1",78396501,JULIO ANTONIO MUTZUTZ CATU,ANABELLA MAZARIEGOS RIVADENEIRA DE RODRÍGUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0195-46,04-027,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO CHIMALTECO DE EDUCACIÓN INTEGRAL,5A. CALLE 3-60 ZONA 3,78392713,JULIO ANTONIO MUTZUTZ CATU,WENDY ARACELY MULUL ANDRES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0197-46,04-020,CHIMALTENANGO,CHIMALTENANGO,COLEGIO BLESS,1A. CALLE 9-307 ZONA 4,78739432,SANDRA NINETH LOPEZ GUTIERREZ,EMILIO ANTONIO JUÁREZ ZAMORA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-0199-46,04-027,CHIMALTENANGO,CHIMALTENANGO,"CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO ""C.E.T.A.CH.""",8A. AVENIDA 3-59 ZONA 2,77741100,JULIO ANTONIO MUTZUTZ CATU,LIC. JOSÉ EDWIN VILLARREAL AGUILAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0203-46,04-020,CHIMALTENANGO,CHIMALTENANGO,LICEO EN CIENCIA Y TECNOLOGIA DE OCCIDENTE,"8A. CALLE, LOTE NO. 87, ZONA 1, RESIDENCIALES ""QUINTAS LOS APOSENTOS"" AVENIDA LOS APOSENTOS Y",78404743,SANDRA NINETH LOPEZ GUTIERREZ,SANDRA NOEMI ORTIZ ESTRADA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
