,,,,,,,,,,,,,,,,
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
05-01-0290-46,05-003,ESCUINTLA,ESCUINTLA,LICEO FUENTE DE VIDA,5TA CALLE 3-33 ZONA 1,40771935,NILDA JANETHE IBARRA BARRERA,DIOGENES BAUDILIO FIGUEROA CRUZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0292-46,05-003,ESCUINTLA,ESCUINTLA,LICEO JUVENIL LA PATRIA,2A. AVENIDA A 2-15 ZONA 2 COLONIA FERROCARRILERO,78897674,NILDA JANETHE IBARRA BARRERA,CLAUDIA SUSETH YANES SOLARES DE L?PEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0293-46,05-003,ESCUINTLA,ESCUINTLA,LICEO JUVENIL LA PATRIA,2A. AVENIDA A 2-15 ZONA 2 COLONIA EL FERROCARRILERO,78897674,NILDA JANETHE IBARRA BARRERA,CLAUDIA SUSETH YANES SOLARES L?PEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0296-46,05-003,ESCUINTLA,ESCUINTLA,COLEGIO IZCUINTLAN,"3RA A AVENIDA ""A"" 1-92 ZONA 1",59226836,NILDA JANETHE IBARRA BARRERA,RUTH LORENA AREVALO OSORIO DE MONTERROSO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0299-46,05-003,ESCUINTLA,ESCUINTLA,"CENTRO EDUCATIVO Y FORMACION HUMANA ""DE MAR?A""","3A AVENIDA ""A"" 4-48 ZONA 1",42065584,NILDA JANETHE IBARRA BARRERA,ERICK IVAN RIVERA MARTINEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0303-46,05-003,ESCUINTLA,ESCUINTLA,LICEO EDUCATIVO TêCNICO EVANGêLICO,1RA. AVENIDA 6-08 ZONA 4,78899679,NILDA JANETHE IBARRA BARRERA,HERBERT VINICIO CUEVAS HURTARTE,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),ESCUINTLA
05-01-0307-46,05-003,ESCUINTLA,ESCUINTLA,INSTITUTO COMERCIAL DE C?MPUTOS AVANZADOS INCCAV,4A. AVENIDA SUR FINAL 15-94 ZONA 3,78898958,NILDA JANETHE IBARRA BARRERA,EDGAR DANIEL PALMA Y PALMA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0308-46,05-003,ESCUINTLA,ESCUINTLA,COLEGIO BILINGUE JARDIN AMERICANO,"16 CALLE 2-20, COLONIA LAS BRISAS",77928349,NILDA JANETHE IBARRA BARRERA,CLAUDIA ARGENTINA JIMêNEZ PRADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0309-46,05-003,ESCUINTLA,ESCUINTLA,"LICEO PREUNIVERSITARIO ""CIENCIA Y TECNOLOG?A""",6TA. AVE. 2-52 ZONA 1,54547864,NILDA JANETHE IBARRA BARRERA,LILY BEATRIZ ORELLANA SARCE•O,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0310-46,05-003,ESCUINTLA,ESCUINTLA,"LICEO PREUNIVERSITARIO ""CIENCIA Y TECNOLOG?A""",6TA. AVE. 2-52 ZONA 1,54547864,NILDA JANETHE IBARRA BARRERA,LILY BEATRIZ ORELLANA SARCE•O,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0311-46,05-003,ESCUINTLA,ESCUINTLA,"LICEO PREUNIVERSITARIO ""CIENCIA Y TECNOLOG?A""",6TA. AVE. 2-52 ZONA 1,41490442,NILDA JANETHE IBARRA BARRERA,LILY BEATRIZ ORELLANA SARCE•O,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0312-46,05-003,ESCUINTLA,ESCUINTLA,CENTRO EDUCATIVO CON COMPUTACI?N EL QUETZAL,"3A. CALLE 3-95 ZONA 2, COLONIA EL QUETZAL",78881070,NILDA JANETHE IBARRA BARRERA,MARIANELA ECHEVERR?A TRIGUEROS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0314-46,05-003,ESCUINTLA,ESCUINTLA,"LICEO MIXTO EDUCATIVO DE FORMACI?N INTEGRAL ""LIMEFI""","3A. AVENIDA ""A"" 1-92 ZONA 1",59226836,NILDA JANETHE IBARRA BARRERA,RUTH LORENA AREVALO OSORIO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0315-46,05-003,ESCUINTLA,ESCUINTLA,"LICEO MIXTO EDUCATIVO DE FORMACI?N INTEGRAL ""LIMEFI""","3A. AVENIDA ""A"" 1-92 ZONA 1",59226836,NILDA JANETHE IBARRA BARRERA,RUTH LORENA AREVALO OSORIO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0317-46,05-003,ESCUINTLA,ESCUINTLA,"LICEO MIXTO EDUCATIVO DE FORMACI?N INTEGRAL ""LIMEFI""","3A. AVENIDA ""A"" 1-92 ZONA 1",59226836,NILDA JANETHE IBARRA BARRERA,RUTH LORENA AREVALO OSORIO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0320-46,05-003,ESCUINTLA,ESCUINTLA,INSTITUTO PARTICULAR DE EDUACI?N B?SICA Y BACHILLERATO POR MADUREZ,4TA .AV.SUR 15-20 ZONA 4,78895255,NILDA JANETHE IBARRA BARRERA,SALOM?N ALVAREZ ANDRADE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0321-46,05-003,ESCUINTLA,ESCUINTLA,COLEGIO CARROUSEL,25 CALLE 0-09 ZONA 5 COLONIA CA•AVERAL IV,52087048,NILDA JANETHE IBARRA BARRERA,SANDRA EUGENIA MENDIZABAL VALDEZ DE MORALES,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0323-46,05-003,ESCUINTLA,ESCUINTLA,LICEO ESPA•OL AMERICANO,1RA AVENIDA 0-06 ZONA 4 COLONIA LOS NARANJALES,78897037,NILDA JANETHE IBARRA BARRERA,YARISA RUBY SAMAYOA BARRIOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0325-46,05-003,ESCUINTLA,ESCUINTLA,CENTRO EDUCACIONAL GUATEMALTECO DEL SUR,3A AVENIDA 5-52 ZONA 1,78894544,NILDA JANETHE IBARRA BARRERA,HILDA YOLANDA V?SQUEZ L?PEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0327-46,05-003,ESCUINTLA,ESCUINTLA,COLEGIO SANTIAGO DE LOS CABALLEROS DE GUATEMALA,2A. AVENIDA. 10-98 ZONA 1,78898751,NILDA JANETHE IBARRA BARRERA,SILVIA ELENA RU?Z THEISSEN DE CARDONA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0328-46,05-003,ESCUINTLA,ESCUINTLA,"INSTITUTO NACIONAL DE BACHILLERATO POR MADUREZ ""SALOM?N ALVAREZ ANDRADE",4TA. AV. 15-20 ZONA 4,58747825,NILDA JANETHE IBARRA BARRERA,THELMA COLOMBINA TRUJILLO SUAZO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ESCUINTLA
05-01-0330-46,05-003,ESCUINTLA,ESCUINTLA,INSTITUTO TêCNICO CIENCIAS INDUSTRIALES,"2DA. CALLE 3-28, ZONA 1",78898879,NILDA JANETHE IBARRA BARRERA,MAYRON USIEL LOAIZA GARC?A,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0332-46,05-003,ESCUINTLA,ESCUINTLA,COLEGIO TECNOL?GICO MODERNO,"LOTE 34 CANT?N PUENTE DE PALO, EL CHUPADERO",54547864,NILDA JANETHE IBARRA BARRERA,ASTRI DAYANNE L?PEZ CEBALLOS,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0336-46,05-003,ESCUINTLA,ESCUINTLA,COLEGIO INTERNACIONAL FUTURE LEARNING CENTER FLC,5A CALLE 3-33 ZONA 1,78841293,NILDA JANETHE IBARRA BARRERA,JESSICA JEANNETTE SAGASTUME HICKS DE TZORIN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0338-46,05-003,ESCUINTLA,ESCUINTLA,CORPORACI?N DEL LICEO EDUCATIVO TêCNICO EVANGêLICO SOCIEDAD AN?NIMA,1A AVENIDA 5-80 ZONA 4,78899679,NILDA JANETHE IBARRA BARRERA,HERBERT VINICIO CUEVAS HURTARTE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0339-46,05-003,ESCUINTLA,ESCUINTLA,CORPORACI?N DEL LICEO EDUCATIVO TêCNICO EVANGêLICO SOCIEDAD ANONIMA,1A AVENIDA 5-80 ZONA 4,78899679,NILDA JANETHE IBARRA BARRERA,HERBERT VINICIO CUEVAS HURTARTE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ESCUINTLA
05-01-0340-46,05-003,ESCUINTLA,ESCUINTLA,CORPORACI?N DEL LICEO EDUCATIVO TêCNICO EVANGêLICO SOCIEDAD AN?NIMA,1A AVENIDA 5-80 ZONA 4,78899679,NILDA JANETHE IBARRA BARRERA,HERBERT VINICIO CUEVAS HURTARTE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0342-46,05-003,ESCUINTLA,ESCUINTLA,COLEGIO HISPANO-AMêRICANO HACIENDA VERDE,"SEGUNDO CALLEJ?N, 2DA CALLE, GRANJA NO. 2 CANT?N LOS VOLADORES",78880240,NILDA JANETHE IBARRA BARRERA,SILVIA LORENA CONCOGU? MARROQU?N,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0343-46,05-003,ESCUINTLA,ESCUINTLA,"COLEGIO MIXTO EVANGêLICO CON COMPUTACI?N ""NAZARETH""",12 CALLE 2-86 ZONA 1,78890060,NILDA JANETHE IBARRA BARRERA,SANDRA JEANETTE GARC?A S?NCHEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0344-46,05-003,ESCUINTLA,ESCUINTLA,INSTITUTO PRIVADO CULTURAL INFORM?TICO Y CIENT?FICO IPCIC,3A. CALLE 2-23 ZONA 2 COLONIA EL FERROCARRILERO,78881715,NILDA JANETHE IBARRA BARRERA,FLORIDALMA ORELLANA SARCE•O,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
