,,,,,,,,,,,,,,,,
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
13-01-0244-46,13-060,HUEHUETENANGO,HUEHUETENANGO,INSTITUTO TêCNICO DE CAPACITACI?N Y PRODUCTIVIDAD INTECAP,3A. CALLE FINAL ZACULEU CENTRAL ZONA 9,79575353,AROLDO HOSBERI SOSA L?PEZ,EDGAR FERNANDO GRANADOS MêRIDA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),HUEHUETENANGO
13-01-0246-46,13-004,HUEHUETENANGO,HUEHUETENANGO,LICEO CANADIENSE DEL NOR OCCIDENTE,"7A. CALLE 12-75, ZONA 5, COLONIA LA HONDONADA HUEHUETENANGO",77250964,CLARA ARMIDA MORALES CASTILLO,JULIO RENê CALDER?N FLORES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,HUEHUETENANGO
13-01-0268-46,13-004,HUEHUETENANGO,HUEHUETENANGO,LICEO PRIVADO DE CIENCIAS COMERCIALES,5A. AVENIDA 7-112 ZONA 1,77640126,CLARA ARMIDA MORALES CASTILLO,MARLIN MARIBEL HERN?NDEZ CASTILLO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,HUEHUETENANGO
13-01-0269-46,13-004,HUEHUETENANGO,HUEHUETENANGO,COLEGIO TECNOL?GICO DEL VALLE,"1A. CALLE 7-77, ZONA 8",77252793,CLARA ARMIDA MORALES CASTILLO,OTTO DELMAR MAURICIO ALVARADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,HUEHUETENANGO
13-01-0275-46,13-004,HUEHUETENANGO,HUEHUETENANGO,LICEO PRIVADO DE CIENCIAS COMERCIALES,5A. AVENIDA 7-112 ZONA 1,77640126,CLARA ARMIDA MORALES CASTILLO,MARLIN MARIBEL HERNANDEZ CASTILLO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,HUEHUETENANGO
13-01-0287-46,13-004,HUEHUETENANGO,HUEHUETENANGO,COLEGIO PREUNIVERSITARIO CAMBRIDGE,1RA. CALLE ZONA 8,77649920,CLARA ARMIDA MORALES CASTILLO,OTTO DELMAR MAURICIO ALVARADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0288-46,13-004,HUEHUETENANGO,HUEHUETENANGO,LICEO PRIVADO DE CIENCIAS COMERCIALES,"5A. AVENIDA 7-112, ZONA 1",77640126,CLARA ARMIDA MORALES CASTILLO,MARLIN MARIBEL HERN?NDEZ CASTILLO DE LE?N,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0289-46,13-004,HUEHUETENANGO,HUEHUETENANGO,COLEGIO PRIVADO MIXTO AMERICANO,"3A. AVENIDA 1-140, ZONA 3",77649739,CLARA ARMIDA MORALES CASTILLO,MIGUEL ?NGEL CANAHöI PORTILLO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0290-46,13-050,HUEHUETENANGO,HUEHUETENANGO,COLEGIO TECNOL?GICO DE HUEHUETENANGO,"2A. CALLE 6-49, ZONA 1",77641301,LILIAN FLORIDALMA MOLINA MU•OZ,OLIVER BOANERGES RECINOS RECINOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0291-46,13-050,HUEHUETENANGO,HUEHUETENANGO,"COLEGIO PRIVADO MIXTO ""RAFAEL LANDIVAR""","5A. CALLE 11-65, ZONA 1",77646933,LILIAN FLORIDALMA MOLINA MU•OZ,OSCAR ROCAEL L?PEZ GUTIêRREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
